%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	 ( ( One man ) ( is ( ( climbing ( a cliff ) ) ( with ( a rope ) ) ) ) ) 	 ( ( ( A person ) ( with ( pink ( climbing gear ) ) ) ) ( roped ( the rock ) ) ) 	3.3	647
CONTRADICTION	 ( woman:A_woman ( is ( and:dancing_and_singing ( with ( other women ) ) ) ) ) 	 ( woman:A_woman ( is ( and:dancing_and_singing alone ) ) ) 	3.285	1236
NEUTRAL	 ( man:A_man ( is ( parking ( car:a_car ( in ( a garage ) ) ) ) ) ) 	 ( man:A_man ( is ( getting ( into car:a_car ) ) ) ) 	3.4	2679
ENTAILMENT	 ( dogs:Two_dogs ( are ( playing ( by ( a tree ) ) ) ) ) 	 ( dogs:Two_dogs ( are ( playing ( by ( a plant ) ) ) ) ) 	4.6	211
NEUTRAL	 ( man:A_man ( ( is carelessly ) ( holding ( a frog ) ) ) ) 	 ( man:A_man ( is ( emptying ( ( a container ) ( made ( of plastic ) ) ) ) ) ) 	1.1	1711
NEUTRAL	 ( ( A man ) ( is ( packing guitar:the_guitar ) ) ) 	 ( ( The man ) ( is ( ( ( singing and ) playing ) guitar:the_guitar ) ) ) 	3.4	3910
ENTAILMENT	 ( ( The person ) scrubbing:is_scrubbing_a_zucchini ) 	 ( ( A person ) scrubbing:is_scrubbing_a_zucchini ) 	5	3790
NEUTRAL	 ( ( An onion ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) ) 	 ( ( The woman ) ( is ( cutting ( a carrot ) ) ) ) 	2.4	2932
CONTRADICTION	 ( man:A_man ( is ( ( slicing potato:a_potato ) ( into pieces ) ) ) ) 	 ( man:A_man ( ( is not ) ( cutting potato:a_potato ) ) ) 	4	4831
NEUTRAL	 ( ( An officer ) ( is ( talking ( to ( the recruits ) ) ) ) ) 	 ( Recruits ( are ( talking ( to ( an officer ) ) ) ) ) 	3.7	4934
ENTAILMENT	 ( man:A_man ( is ( playing guitar:a_guitar ) ) ) 	 ( man:A_man ( is ( strumming guitar:a_guitar ) ) ) 	4.9	1495
NEUTRAL	 ( ( A ( young ( , ( topless woman ) ) ) ) ( is ( covered ( in paint ) ) ) ) 	 ( ( Some instruments ) ( are ( being ( played ( by ( a band ) ) ) ) ) ) 	1	9838
NEUTRAL	 ( ( A flute ) ( is ( being ( played ( by ( a man ) ) ) ) ) ) 	 ( ( The adult ) ( is ( playing ( ( the guitar ) loudly ) ) ) ) 	2.4	1807
NEUTRAL	 ( man:A_man ( is spitting ) ) 	 ( man:A_man ( is ( talking ( on ( the radio ) ) ) ) ) 	1.7	1443
ENTAILMENT	 ( Garlic ( is ( being ( chopped ( by ( a woman ) ) ) ) ) ) 	 ( ( A woman ) ( is ( chopping garlic ) ) ) 	4.7	4963
NEUTRAL	 ( ( The woman ) ( is ( holding ( a ( whole tomato ) ) ) ) ) 	 ( Someone ( is ( cutting ( a tomato ) ) ) ) 	3.5	2402
ENTAILMENT	 ( ( ( A group ) ( of people ) ) ( is singing ) ) 	 ( ( Some people ) ( are singing ) ) 	4.7	2476
NEUTRAL	 ( ( A woman ) ( is ( ( pouring ingredients ) ( into ( a bowl ) ) ) ) ) 	 ( ( The chef ) ( is ( seasoning ( the oil ) ) ) ) 	3.1	5909
NEUTRAL	 ( There ( is ( ( no ( brown ( dog standing ) ) ) the:in_the_water ) ) ) 	 ( ( ( A dog ) ( with ( golden fur ) ) ) ( is the:in_the_water ) ) 	2.8	6001
CONTRADICTION	 ( ( A woman ) ( is ( playing ( a flute ) ) ) ) 	 ( ( The woman ) ( ( is not ) ( playing ( the flute ) ) ) ) 	3.2	2886
NEUTRAL	 ( ( Two teams ) ( are ( competing ( in ( a ( football match ) ) ) ) ) ) 	 ( ( A player ) ( is ( throwing ( the ball ) ) ) ) 	2.9	116
NEUTRAL	 ( ( A woman ) ( is ( playing ( the flute ) ) ) ) 	 ( ( A man ) ( is ( playing ( a flute ) ) ) ) 	3.7	5461
NEUTRAL	 ( woman:A_woman ( is ( tapping fingers:her_fingers ) ) ) 	 ( woman:A_woman ( is ( ( resting fingers:her_fingers ) ( on ( a table ) ) ) ) ) 	3.1	2231
NEUTRAL	 ( monkey:A_monkey ( is ( ( teasing ( a dog ) ) ( at ( the zoo ) ) ) ) ) 	 ( monkey:A_monkey ( is ( pulling ( ( a ( dog 's ) ) tail ) ) ) ) 	4.4	4814
NEUTRAL	 ( ( A man ) ( is ( doing pull-ups ) ) ) 	 ( ( The man ) ( is ( doing ( exercises ( in ( a gym ) ) ) ) ) ) 	4	4891
NEUTRAL	 ( ( A woman ) ( is exercising ) ) 	 ( ( A person ) ( is dancing ) ) 	3	4866
CONTRADICTION	 ( There ( is ( ( no man ) ( eating food ) ) ) ) 	 ( ( A man ) ( is ( eating ( a pizza ) ) ) ) 	3.2	4114
NEUTRAL	 ( ( A woman ) buttering:is_buttering_a_piece_of_bread ) 	 ( ( A man ) buttering:is_buttering_a_piece_of_bread ) 	3.5	5148
ENTAILMENT	 ( skateboarder:A_skateboarder ( is ( ( jumping off ) ramp:a_ramp ) ) ) 	 ( skateboarder:A_skateboarder ( is ( ( making ( a jump ) ) ( off ramp:a_ramp ) ) ) ) 	4.8	8678
ENTAILMENT	 ( ( One man ) ( is ( ( running down ) ( the road ) ) ) ) 	 ( ( A man ) ( is running ) ) 	4.4	2430
CONTRADICTION	 ( There ( is ( ( no girl ) a:playing_a_flute ) ) ) 	 ( ( A girl ) ( is a:playing_a_flute ) ) 	3.6	5310
NEUTRAL	 ( ( The men ) talking:are_talking ) 	 ( ( Some ( old women ) ) talking:are_talking ) 	3	4429
NEUTRAL	 ( ( A ( young girl ) ) ( is ( standing ( on ( one leg ) ) ) ) ) 	 ( ( A ( young female ) ) ( is dancing ) ) 	3.3	6590
NEUTRAL	 ( People ( are ( ( ( riding and ) paddling ) raft:a_raft ) ) ) 	 ( ( Four people ) ( are ( floating ( on raft:a_raft ) ) ) ) 	4.2	2527
ENTAILMENT	 ( cat:The_cat ( is ( playing ( passionately a:with_a_watermelon ) ) ) ) 	 ( cat:The_cat ( is ( playing a:with_a_watermelon ) ) ) 	4.7	2284
ENTAILMENT	 ( ( A ( large ( green ball ) ) ) hitting:is_hitting_a_potato ) 	 ( ( A ( large ( green ( colored ball ) ) ) ) hitting:is_hitting_a_potato ) 	4.8	2967
CONTRADICTION	 ( ( The man ) ( is drawing ) ) 	 ( There ( is ( no ( man drawing ) ) ) ) 	3.4	4330
ENTAILMENT	 ( ( A woman ) ( is ( slicing ( an octopus ) ) ) ) 	 ( ( An octopus ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) ) 	5	5374
NEUTRAL	 ( woman:A_woman ( is ( combing hair:her_hair ) ) ) 	 ( woman:A_woman ( is ( arranging hair:her_hair ) ) ) 	4.1	1177
ENTAILMENT	 ( woman:A_woman ( is ( cutting ( a lemon ) ) ) ) 	 ( woman:A_woman ( is ( cutting fruit ) ) ) 	4.2	5498
NEUTRAL	 ( woman:A_woman ( is ( ( chopping up ) garlic ) ) ) 	 ( woman:A_woman ( is ( ( putting away ) ( the garlic ) ) ) ) 	3.6	3505
NEUTRAL	 ( man:A_man ( is ( praying fervently ) ) ) 	 ( man:A_man ( is dancing ) ) 	1.7	4196
ENTAILMENT	 ( ( The woman ) ( is ( slicing ( cooked octopus ) ) ) ) 	 ( ( A woman ) ( is ( ( chopping up ) ( an octopus ) ) ) ) 	4.4	4288
NEUTRAL	 ( ( Some women ) ( are and:dancing_and_singing ) ) 	 ( ( A woman ) ( is ( and:dancing_and_singing ( in ( the rain ) ) ) ) ) 	3.8	1237
CONTRADICTION	 ( There ( is ( ( no woman ) meat:putting_meat_in_a_pan ) ) ) 	 ( ( A woman ) ( is meat:putting_meat_in_a_pan ) ) 	3.4	3625
ENTAILMENT	 ( ( A band ) ( is ( playing ( some instruments ) ) ) ) 	 ( ( Some instruments ) ( are ( being ( played ( by ( a band ) ) ) ) ) ) 	5	4851
NEUTRAL	 ( ( A man ) ( is ( playing ( an ( acoustic guitar ) ) ) ) ) 	 ( ( The woman ) ( ( is not ) ( playing ( an ( electric guitar ) ) ) ) ) 	3	2738
NEUTRAL	 ( There ( is ( ( no cat ) ( ( eating corn ) ( on ( the cob ) ) ) ) ) ) 	 ( ( A cat ) ( is ( eating ( some corn ) ) ) ) 	2.5	2535
NEUTRAL	 ( ( A monkey ) ( is ( kicking ( at ( ( a ( person 's ) ) glove ) ) ) ) ) 	 ( ( The monkey ) ( is ( practicing ( martial arts ) ) ) ) 	3.6	3143
NEUTRAL	 ( ( ( ( A man ) and ) ( a woman ) ) ( are ( eating happily ) ) ) 	 ( ( A ( ( man and ) woman ) ) ( are talking ) ) 	2.6	2766
NEUTRAL	 ( man:A_man ( is ( playing flute ) ) ) 	 ( man:A_man ( is ( ( playing ( a game ) ) ( with ( a ball ) ) ) ) ) 	1.5	1302
ENTAILMENT	 ( ( The meat ) ( is ( being ( dropped a:into_a_pan ) ) ) ) 	 ( Someone ( is ( ( dropping ( the meat ) ) a:into_a_pan ) ) ) 	4.7	3626
NEUTRAL	 ( ( ( A ( man 's ) ) ( white car ) ) ( is ( being ( driven away ) ) ) ) 	 ( ( The man ) ( is ( granting ( an interview ) ) ) ) 	1.1	2096
NEUTRAL	 ( ( A baby ) ( is ( playing ( with ( a doll ) ) ) ) ) 	 ( ( A ( tiger cub ) ) ( is ( playing ( with ( a ball ) ) ) ) ) 	1.4	5745
NEUTRAL	 ( person:A_person ( is ( slicing ( an onion ) ) ) ) 	 ( person:A_person ( is ( cutting ( some ginger ) ) ) ) 	3	4823
CONTRADICTION	 ( man:The_man ( is ( denying interview:an_interview ) ) ) 	 ( man:The_man ( is ( granting interview:an_interview ) ) ) 	3.2	2089
NEUTRAL	 ( ( Four children ) ( are ( doing ( backbends ( in ( the gym ) ) ) ) ) ) 	 ( ( Four girls ) ( are ( ( ( doing backbends ) and ) ( playing outdoors ) ) ) ) 	3.8	105
CONTRADICTION	 ( puppy:The_puppy ( is with:playing_with_a_plastic_container ) ) 	 ( puppy:The_puppy ( ( is not ) with:playing_with_a_plastic_container ) ) 	3.2	3036
NEUTRAL	 ( person:A_person ( is ( ( cutting ( an onion ) ) pieces:into_pieces ) ) ) 	 ( person:A_person ( is ( ( slicing ( a carrot ) ) pieces:into_pieces ) ) ) 	3.4	2385
CONTRADICTION	 ( ( A man ) ( is a:opening_a_door ) ) 	 ( There ( is ( ( no man ) a:opening_a_door ) ) ) 	3.6	5051
NEUTRAL	 ( person:A_person ( is ( standing ( near ( a motorcycle ) ) ) ) ) 	 ( person:A_person ( is ( chopping ( an onion ) ) ) ) 	1.2	1390
NEUTRAL	 ( ( A ( blond girl ) ) ( is ( looking ( at ( the waves ) ) ) ) ) 	 ( ( A lady ) ( is ( ( ( surfing and ) riding ) ( a wave ) ) ) ) 	3.3	450
NEUTRAL	 ( woman:A_woman ( is ( ( resting fingers:her_fingers ) a:on_a_table ) ) ) 	 ( woman:A_woman ( is ( ( tapping fingers:her_fingers ) a:on_a_table ) ) ) 	4.1	2229
NEUTRAL	 ( ( An onion ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) ) 	 ( ( The woman ) ( is ( cutting ( a carrot ) ) ) ) 	2.4	2932
NEUTRAL	 ( There ( ( is ( no one ) ) ( playing ( a piano ) ) ) ) 	 ( ( A man ) ( is ( playing ( a guitar ) ) ) ) 	2.7	4376
