%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	 ( ( ( ( A black ) and ) ( a ( white dog ) ) ) ( ( are joyfully ) ( running the:on_the_grass ) ) ) 	 ( ( ( A ( black person ) ) ( in white ) ) ( ( is joyfully ) ( running ( with ( ( the dog ) the:on_the_grass ) ) ) ) ) 	2.4	855
NEUTRAL	 ( white:One_white_dog_and_one_black_one ( are ( ( sitting side ) side:by_side_on_the_grass ) ) ) 	 ( white:One_white_dog_and_one_black_one ( are ( ( running side ) side:by_side_on_the_grass ) ) ) 	3.7	857
ENTAILMENT	 ( ( ( ( One dog:white_dog ) and ) ( one ( black one ) ) ) ( ( are cheerfully ) ( ( running side ) ( by ( side the:on_the_grass ) ) ) ) ) 	 ( ( ( ( A black ) and ) ( a dog:white_dog ) ) ( ( are joyfully ) ( running the:on_the_grass ) ) ) 	4.4	858
NEUTRAL	 ( ( ( ( One dog:white_dog ) and ) ( one ( black one ) ) ) ( are ( ( sitting side ) ( by ( side the:on_the_grass ) ) ) ) ) 	 ( ( ( ( A black ) and ) ( a dog:white_dog ) ) ( ( are joyfully ) ( running the:on_the_grass ) ) ) 	4.115	859
NEUTRAL	 ( ( ( A ( black person ) ) ( in white ) ) ( ( is joyfully ) ( running ( with ( ( the dog ) the:on_the_grass ) ) ) ) ) 	 ( ( ( ( One ( white dog ) ) and ) ( one ( black one ) ) ) ( are ( ( running side ) ( by ( side the:on_the_grass ) ) ) ) ) 	2.3	862
CONTRADICTION	 ( ( ( A lot ) people:of_people ) in:are_in_an_ice_skating_park ) 	 ( ( ( Not ( a lot ) ) people:of_people ) in:are_in_an_ice_skating_park ) 	3.9	864
NEUTRAL	 ( ( Many people ) ( are ( skating ( in ( an ( ice park ) ) ) ) ) ) 	 ( ( ( A lot ) ( of people ) ) ( are ( in ( an ( ice ( skating park ) ) ) ) ) ) 	3.9	866
ENTAILMENT	 ( ( The skating:ice_skating_rink ) outdoors:placed_outdoors_is_full_of_people ) 	 ( ( An skating:ice_skating_rink ) outdoors:placed_outdoors_is_full_of_people ) 	4.9	867
CONTRADICTION	 ( ice:An_ice_skating_rink ( placed ( outdoors ( is empty ) ) ) ) 	 ( ice:An_ice_skating_rink ( placed ( outdoors ( is ( full ( of people ) ) ) ) ) ) 	3.6	868
NEUTRAL	 ( ( An ( ice ( skating rink ) ) ) ( placed ( outdoors ( is of:full_of_people ) ) ) ) 	 ( ( An ( ice skater ) ) ( is ( outdoors ( performing ( on ( ( a rink ) of:full_of_people ) ) ) ) ) ) 	4	869
ENTAILMENT	 ( ( The ( ice ( skating rink ) ) ) ( placed ( outdoors ( is ( full people:of_people ) ) ) ) ) 	 ( ( ( A lot ) people:of_people ) ( are ( in ( an ( ice ( skating park ) ) ) ) ) ) 	4.2	870
NEUTRAL	 ( ( ( A lot ) people:of_people ) ( are ( in ( an ( ice ( skating park ) ) ) ) ) ) 	 ( ( An ( ice skater ) ) ( is ( outdoors ( performing ( on ( ( a rink ) ( full people:of_people ) ) ) ) ) ) ) 	3.5	872
CONTRADICTION	 ( ( An ( ice ( skating rink ) ) ) ( placed ( outdoors ( is ( full ( of people ) ) ) ) ) ) 	 ( There ( ( are n't ) ( ( many people ) ( in ( the ( ice ( skating park ) ) ) ) ) ) ) 	3.6	874
ENTAILMENT	 ( ( An ( ice ( skating rink ) ) ) ( placed ( outdoors ( is ( full people:of_people ) ) ) ) ) 	 ( ( ( A lot ) people:of_people ) ( are ( in ( an ( ice ( skating park ) ) ) ) ) ) 	4.5	876
NEUTRAL	 ( girl:A_girl_in_a_uniform_,_which_is_blue_, ( is ( lowering arm:her_arm ) ) ) 	 ( girl:A_girl_in_a_uniform_,_which_is_blue_, ( ( is ( raising arm:her_arm ) ) . ) ) 	3.4	878
NEUTRAL	 ( girl:A_girl ( is ( ( raising ( a ( blue uniform ) ) ) ( with arm:her_arm ) ) ) ) 	 ( ( ( ( ( girl:A_girl ( in ( a uniform ) ) ) , ) ( which ( is blue ) ) ) , ) ( ( is ( raising arm:her_arm ) ) . ) ) 	3.3	879
ENTAILMENT	 ( ( ( The girl ) the:in_the_blue_and_white_uniform ) ( is cheering ) ) 	 ( ( Some cheers ) ( are ( being ( performed ( by ( ( the girl ) the:in_the_blue_and_white_uniform ) ) ) ) ) ) 	4.9	880
CONTRADICTION	 ( girl:The_girl_in_the_blue_and_white_uniform ( ( is n't ) cheering ) ) 	 ( girl:The_girl_in_the_blue_and_white_uniform ( is cheering ) ) 	4.1	881
NEUTRAL	 ( ( Some cheers ) ( are ( being ( performed ( by ( ( the girl ) ( in ( the ( blue ( and ( white uniform ) ) ) ) ) ) ) ) ) ) ) 	 ( ( ( ( ( ( A girl ) ( in ( a uniform ) ) ) , ) ( which ( is blue ) ) ) , ) ( ( is ( raising ( her arm ) ) ) . ) ) 	4.2	883
NEUTRAL	 ( ( ( The girl ) ( in ( the ( blue ( and ( white uniform ) ) ) ) ) ) ( is cheering ) ) 	 ( ( ( ( ( ( A girl ) ( in ( a uniform ) ) ) , ) ( which ( is blue ) ) ) , ) ( is ( lowering ( her arm ) ) ) ) 	3.4	887
NEUTRAL	 ( ( A girl ) ( is ( ( raising ( a ( blue uniform ) ) ) ( with ( her arm ) ) ) ) ) 	 ( ( ( The girl ) ( in ( the ( blue ( and ( white uniform ) ) ) ) ) ) ( is cheering ) ) 	3.2	888
NEUTRAL	 ( ( ( ( ( ( A girl ) ( in ( a uniform ) ) ) , ) ( which ( is blue ) ) ) , ) ( ( is ( raising ( her arm ) ) ) . ) ) 	 ( ( ( The girl ) ( in ( the ( blue ( and ( white uniform ) ) ) ) ) ) ( is cheering ) ) 	3.3	889
ENTAILMENT	 ( People ( on:are_on_a_beach_full_of_sand_by_the_ocean_and ( are ( enjoying ( a ( sunny day ) ) ) ) ) ) 	 ( People ( on:are_on_a_beach_full_of_sand_by_the_ocean_and ( are ( enjoying ( ( a day ) ( full ( of sun ) ) ) ) ) ) ) 	4.8	892
NEUTRAL	 ( People ( ( ( ( are ( far ( from ( beach:a_beach ( full ( of sand ) ) ) ) ) ) the:by_the_ocean ) and ) ( are ( suffering ( from ( the day:sunny_day ) ) ) ) ) ) 	 ( People ( ( ( are ( on ( beach:a_beach ( full ( of ( sand the:by_the_ocean ) ) ) ) ) ) and ) ( are ( enjoying ( a day:sunny_day ) ) ) ) ) 	2.9	893
NEUTRAL	 ( People ( ( ( ( are ( far ( from ( ( a beach ) ( full ( of sand ) ) ) ) ) ) ( by ( the ocean ) ) ) and ) ( are ( suffering ( from ( the ( sunny day ) ) ) ) ) ) ) 	 ( ( ( A bunch ) ( of people ) ) ( is ( on ( the shore ) ) ) ) 	2.8	895
ENTAILMENT	 ( People ( ( ( are ( on ( ( a beach ) ( full ( of ( sand ( by ( the ocean ) ) ) ) ) ) ) ) and ) ( are ( enjoying ( a ( sunny day ) ) ) ) ) ) 	 ( ( ( A bunch ) ( of people ) ) ( is ( on ( the shore ) ) ) ) 	3.8	898
ENTAILMENT	 ( man:The_man ( is ( a:doing_a_wheelie ( with ( ( a motorbike ) ( in ( ( a field ) is:which_is_mostly_barren ) ) ) ) ) ) ) 	 ( man:The_man ( is ( a:doing_a_wheelie ( with ( ( ( a motorcycle ) ( on ground ) ) is:which_is_mostly_barren ) ) ) ) ) 	4.4	902
NEUTRAL	 ( man:The_man ( is ( ( doing wheelie:a_wheelie ) ( with ( ( motorcycle:a_motorcycle ( on ground ) ) is:which_is_mostly_barren ) ) ) ) ) 	 ( man:The_man ( ( ( ( is ( on ( ground is:which_is_mostly_barren ) ) ) , ) ( filming ( wheelie:a_wheelie ( done ( with motorcycle:a_motorcycle ) ) ) ) ) . ) ) 	3.5	904
NEUTRAL	 ( ( ( A man ) ( in ( a ( blue jumpsuit ) ) ) ) ( ( is courageously ) ( performing ( ( a wheelie ) ( on motorcycle:a_motorcycle ) ) ) ) ) 	 ( ( The man ) ( is ( ( ( getting off ) motorcycle:a_motorcycle ) ( onto ( ground ( which ( is ( mostly barren ) ) ) ) ) ) ) ) 	3.5	906
NEUTRAL	 ( ( ( A man ) ( in ( a ( blue jumpsuit ) ) ) ) ( ( is courageously ) ( performing ( wheelie:a_wheelie ( on motorcycle:a_motorcycle ) ) ) ) ) 	 ( ( The man ) ( is ( ( doing wheelie:a_wheelie ) ( with ( ( motorcycle:a_motorcycle ( on ground ) ) ( which ( is ( mostly barren ) ) ) ) ) ) ) ) 	4.1	908
NEUTRAL	 ( ( ( A man ) ( in ( a ( blue jumpsuit ) ) ) ) ( is ( failing ( to ( ( perform wheelie:a_wheelie ) ( on motorcycle:a_motorcycle ) ) ) ) ) ) 	 ( ( The man ) ( is ( ( doing wheelie:a_wheelie ) ( with ( ( motorcycle:a_motorcycle ( on ground ) ) ( which ( is ( mostly barren ) ) ) ) ) ) ) ) 	3.4	909
NEUTRAL	 ( ( The man ) ( is ( a:doing_a_wheelie ( with ( ( motorcycle:a_motorcycle ( on ground ) ) ( which ( is ( mostly barren ) ) ) ) ) ) ) ) 	 ( ( A ( courageous performer ) ) ( is ( a:doing_a_wheelie ( with ( motorcycle:a_motorcycle ( over ( ( a man ) ( in ( a ( blue jumpsuit ) ) ) ) ) ) ) ) ) ) 	3.6	910
NEUTRAL	 ( people:Two_people ( are ( arguing a:near_a_crowd ) ) ) 	 ( people:Two_people ( are ( kissing a:near_a_crowd ) ) ) 	3	915
NEUTRAL	 ( ( Two people ) ( are ( passionately ( kissing ( near ( a crowd ) ) ) ) ) ) 	 ( ( A woman ) ( is ( being ( kissed ( by ( a man ) ) ) ) ) ) 	4	917
NEUTRAL	 ( ( Two people ) ( are ( kissing ( near ( a crowd ) ) ) ) ) 	 ( ( A lady ) ( is ( being ( kissed ( by ( a man ) ) ) ) ) ) 	4.1	920
NEUTRAL	 ( ( Two people ) ( are ( kissing ( near ( a crowd ) ) ) ) ) 	 ( ( A woman ) ( is ( being ( kissed ( by ( a man ) ) ) ) ) ) 	4	922
CONTRADICTION	 ( young:The_young_girl ( is ( blowing ( bubble:a_bubble ( that ( is huge ) ) ) ) ) ) 	 ( young:The_young_girl ( is ( blowing ( bubble:a_bubble ( that ( is ( very small ) ) ) ) ) ) ) 	3.7	927
NEUTRAL	 ( ( The ( young girl ) ) ( is ( blowing ( bubble:a_bubble ( that ( is huge ) ) ) ) ) ) 	 ( ( ( The girl ) ( in ( a ( dyed ( red shirt ) ) ) ) ) ( ( is n't ) ( blowing bubble:a_bubble ) ) ) 	3.3	931
NEUTRAL	 ( ( A bubble ) ( ( ( blew , ) ( dyeing ( ( the ( girl 's ) ) ( shirt red ) ) ) ) . ) ) 	 ( ( The ( young girl ) ) ( is ( blowing ( ( a bubble ) ( that ( is huge ) ) ) ) ) ) 	3	932
NEUTRAL	 ( young:A_young_child ( ( ( is barefoot ) and ) ( is ( walking ( past puddle:a_puddle_full_of_mud ) ) ) ) ) 	 ( young:A_young_child ( is ( ( ( wearing ( green boots ) ) and ) ( playing ( in puddle:a_puddle_full_of_mud ) ) ) ) ) 	3.5	935
NEUTRAL	 ( ( A child:young_child ) ( is ( ( ( wearing boots:green_boots ) and ) ( playing a:in_a_puddle_full_of_mud ) ) ) ) 	 ( ( ( Some boots:green_boots ) a:in_a_puddle_full_of_mud ) ( are ( targeted ( by ( ( a ( playful child:young_child ) ) ( wearing ( a scarf ) ) ) ) ) ) ) 	3	936
NEUTRAL	 ( ( A ( young child ) ) ( is ( ( ( wearing ( green boots ) ) and ) ( playing ( in ( puddle:a_puddle ( full ( of mud ) ) ) ) ) ) ) ) 	 ( ( A ( little boy ) ) ( is ( jumping ( into ( puddle:a_puddle ( in ( the street ) ) ) ) ) ) ) 	3.8	940
NEUTRAL	 ( ( A ( little boy ) ) ( is ( jumping ( into ( puddle:a_puddle ( on ( the street ) ) ) ) ) ) ) 	 ( ( A ( young child ) ) ( is ( ( ( wearing ( boots ( made ( of ( green rubber ) ) ) ) ) and ) ( playing ( in ( puddle:a_puddle ( full ( of mud ) ) ) ) ) ) ) ) 	4.2	943
NEUTRAL	 ( ( A ( young child ) ) ( ( ( is barefoot ) and ) ( is ( walking ( past ( puddle:a_puddle ( full ( of mud ) ) ) ) ) ) ) ) 	 ( ( A ( little boy ) ) ( is ( jumping ( into ( puddle:a_puddle ( on ( the street ) ) ) ) ) ) ) 	2.9	944
NEUTRAL	 ( ( ( Some ( green boots ) ) ( in ( puddle:a_puddle ( full ( of mud ) ) ) ) ) ( are ( targeted ( by ( ( a ( playful ( young child ) ) ) ( wearing ( a scarf ) ) ) ) ) ) ) 	 ( ( A ( little boy ) ) ( is ( jumping ( into ( puddle:a_puddle ( on ( the street ) ) ) ) ) ) ) 	2.6	945
NEUTRAL	 ( toddlers:Two_toddlers ( are ( sleeping a:in_a_wagon_,_which_is_really_small ) ) ) 	 ( toddlers:Two_toddlers ( are ( ( eating corndogs ) a:in_a_wagon_,_which_is_really_small ) ) ) 	3.4	948
NEUTRAL	 ( toddlers:Two_toddlers ( are ( eating ( on ( ( a ( small:really_small wagon ) ) ( full ( of corndogs ) ) ) ) ) ) ) 	 ( toddlers:Two_toddlers ( are ( ( eating corndogs ) ( in ( ( ( a wagon ) , ) ( which ( is small:really_small ) ) ) ) ) ) ) 	3.9	949
ENTAILMENT	 ( ( Two ( young kids ) ) eating:are_eating_corndogs ) 	 ( ( Two ( young children ) ) eating:are_eating_corndogs ) 	4.9	950
ENTAILMENT	 ( ( Two toddlers ) ( are ( corndogs:eating_corndogs ( in ( ( ( a wagon ) , ) ( which ( is ( really small ) ) ) ) ) ) ) ) 	 ( ( Two ( young children ) ) ( are corndogs:eating_corndogs ) ) 	4.5	953
ENTAILMENT	 ( ( Some corndogs ) ( are ( being ( eaten ( by ( ( two toddlers ) ( who ( are ( in ( ( ( a wagon ) , ) ( which ( is ( really small ) ) ) ) ) ) ) ) ) ) ) ) ) 	 ( ( Two ( young kids ) ) ( are ( eating corndogs ) ) ) 	4.3	956
NEUTRAL	 ( ( Two toddlers ) ( are ( sleeping ( in ( ( ( a wagon ) , ) ( which ( is ( really small ) ) ) ) ) ) ) ) 	 ( ( Two ( young kids ) ) ( are ( eating corndogs ) ) ) 	1.6	957
ENTAILMENT	 ( ( Two toddlers ) ( are ( corndogs:eating_corndogs ( in ( ( ( a wagon ) , ) ( which ( is ( really small ) ) ) ) ) ) ) ) 	 ( ( Two ( young kids ) ) ( are corndogs:eating_corndogs ) ) 	4.3	959
ENTAILMENT	 ( man:A_man_in_a_shirt_dyed_purple ( is ( looking ( at ( man:a_man ( in ( black:a_black_shirt ( who ( is ( doing ( a ( funny face ) ) ) ) ) ) ) ) ) ) ) ) 	 ( man:A_man_in_a_shirt_dyed_purple ( is ( looking ( at ( man:a_man ( in ( black:a_black_shirt ( who ( is ( doing ( ( a face ) ( which ( looks funny ) ) ) ) ) ) ) ) ) ) ) ) ) 	5	960
ENTAILMENT	 ( man:A_man_in_a_shirt_dyed_purple ( is ( ( walking away ) ( from ( man:a_man ( in ( ( black:a_black_shirt , ) ( who ( is serious ) ) ) ) ) ) ) ) ) 	 ( man:A_man_in_a_shirt_dyed_purple ( is ( looking ( at ( man:a_man ( in ( black:a_black_shirt ( who ( is ( doing ( a ( funny face ) ) ) ) ) ) ) ) ) ) ) ) 	3.4	961
NEUTRAL	 ( ( man:A_man ( in ( a ( shirt ( dyed purple ) ) ) ) ) ( is ( looking ( at ( man:a_man ( in ( ( a ( black shirt ) ) ( who ( is ( doing funny:a_funny_face ) ) ) ) ) ) ) ) ) ) 	 ( ( man:A_man ( in ( a ( purple shirt ) ) ) ) ( ( is ( dying ( ( ( another ( shirt black ) ) , ) ( which ( has ( man:a_man ( looking ( at ( ( a dog ) ( doing ( funny:a_funny_face ( painted ( on it ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ) 	3	962
ENTAILMENT	 ( ( man:A_man ( in pose:a_pose ) ) ( is ( being ( amusedly by:watched_by_another_man ) ) ) ) 	 ( ( man:A_man ( doing pose:a_pose ) ) ( is ( being by:watched_by_another_man ) ) ) 	4.6	963
NEUTRAL	 ( ( ( A man ) ( in ( a ( shirt ( dyed purple ) ) ) ) ) ( is ( looking ( at ( ( a man ) ( in ( ( a ( black shirt ) ) ( who ( is ( doing ( a ( funny face ) ) ) ) ) ) ) ) ) ) ) ) 	 ( There ( is ( ( no man ) ( in ( ( a pose ) ( being ( watched ( by ( another man ) ) ) ) ) ) ) ) ) 	3.6	967
NEUTRAL	 ( ( man:A_man ( doing ( a pose ) ) ) ( is ( being ( watched ( by ( another man ) ) ) ) ) ) 	 ( ( man:A_man ( in ( a ( shirt ( dyed purple ) ) ) ) ) ( is ( ( walking away ) ( from ( ( a man ) ( in ( ( ( a ( black shirt ) ) , ) ( who ( is serious ) ) ) ) ) ) ) ) ) 	2.8	970
ENTAILMENT	 ( ( A horse ) ( is ( tossing ( ( the cowboy ) ( wearing ( pants ( of ( blue ( and ( red color ) ) ) ) ) ) ) ) ) ) 	 ( ( ( The cowboy ) ( in ( blue ( and ( red pants ) ) ) ) ) ( is ( being ( tossed ( by ( a horse ) ) ) ) ) ) 	4.9	973
NEUTRAL	 ( ( A horse ) ( is ( tossing ( ( the cowboy ) ( wearing ( pants ( of ( blue ( and ( red color ) ) ) ) ) ) ) ) ) ) 	 ( ( The cowboy ) ( is ( tossing ( ( the ( ( ( blue and ) red ) pants ) ) ( towards ( the horse ) ) ) ) ) ) 	2.9	975
NEUTRAL	 ( man:A_man ( is ( ( laying ( a cover ) ) ( over ( ( a ( wild horse ) ) ( that ( is ( falling ( on ( the track ) ) ) ) ) ) ) ) ) ) 	 ( man:A_man ( ( ( is ( ( falling off ) ( ( a horse ) ( on ( a track ) ) ) ) ) and ) ( is ( laid ( in ( the wild ) ) ) ) ) ) 	3	978
NEUTRAL	 ( ( A man ) ( ( is abruptly ) ( ( ( falling off ) ( a horse ) ) ( on ( ( a track ) ( laid ( in ( the wild ) ) ) ) ) ) ) ) 	 ( ( A horse ) ( is ( tossing ( ( the cowboy ) ( wearing ( pants ( of ( blue ( and ( red color ) ) ) ) ) ) ) ) ) ) 	3.4	979
NEUTRAL	 ( ( A man ) ( ( ( is ( ( falling off ) ( ( a horse ) ( on ( a track ) ) ) ) ) and ) ( is ( laid ( in ( the wild ) ) ) ) ) ) 	 ( ( The cowboy ) ( is ( tossing ( ( the ( ( ( blue and ) red ) pants ) ) ( towards ( the horse ) ) ) ) ) ) 	2.2	984
NEUTRAL	 ( ( A man ) ( ( ( is ( ( falling off ) ( ( a horse ) ( on ( a track ) ) ) ) ) and ) ( is ( laid ( in ( the wild ) ) ) ) ) ) 	 ( ( A horse ) ( is ( tossing ( ( the cowboy ) ( wearing ( pants ( of ( blue ( and ( red color ) ) ) ) ) ) ) ) ) ) 	2.7	985
ENTAILMENT	 ( ( ( ( The man ) and ) ( the boy ) ) ( are ( standing ( at ( bottom:the_bottom ( of ( ( ( the stairs ) , ) are:which_are_outdoors ) ) ) ) ) ) ) 	 ( ( ( ( A man ) and ) ( a boy ) ) ( are ( standing ( at ( bottom:the_bottom ( of ( ( ( some stairs ) , ) are:which_are_outdoors ) ) ) ) ) ) ) 	5	989
NEUTRAL	 ( ( ( man:The_man and ) boy:the_boy ) ( are ( standing ( at ( bottom:the_bottom ( of ( ( stairs:the_stairs , ) ( which ( are outdoors ) ) ) ) ) ) ) ) ) 	 ( ( ( man:The_man ( is ( standing outdoor ) ) ) and ) ( boy:the_boy ( is ( falling ( over ( bottom:the_bottom ( of stairs:the_stairs ) ) ) ) ) ) ) 	3.3	991
NEUTRAL	 ( ( An adult ) ( ( ( is ( in ( the amphitheater ) ) ) and ) ( is ( talking ( to ( a boy ) ) ) ) ) ) 	 ( ( ( ( The man ) ( is ( standing outdoor ) ) ) and ) ( ( the boy ) ( is ( falling ( over ( ( the bottom ) ( of ( the stairs ) ) ) ) ) ) ) ) 	2	994
NEUTRAL	 ( There ( is ( ( no adult ) ( in ( ( the amphitheater ) ( talking ( to ( a boy ) ) ) ) ) ) ) ) 	 ( ( ( ( The man ) and ) ( the boy ) ) ( are ( standing ( at ( ( the bottom ) ( of ( ( ( the stairs ) , ) ( which ( are outdoors ) ) ) ) ) ) ) ) ) 	2.2	996
NEUTRAL	 ( ( ( ( The man ) and ) ( the boy ) ) ( are ( standing ( at ( ( the bottom ) ( of ( ( ( the stairs ) , ) ( which ( are outdoors ) ) ) ) ) ) ) ) ) 	 ( ( An adult ) ( ( ( is ( in ( the amphitheater ) ) ) and ) ( is ( talking ( to ( a boy ) ) ) ) ) ) 	1.8	998
NEUTRAL	 ( boy:A_boy_in_a_red_shirt ( ( ( is ( in ( front ( of long:a_long_blue_wall ) ) ) ) and ) ( ( is suspiciously ) ( ( raising eyebrow:an_eyebrow ) ( at camera:the_camera ) ) ) ) ) 	 ( boy:A_boy_in_a_red_shirt ( ( ( is ( behind long:a_long_blue_wall ) ) and ) ( is ( ( ( lowering eyebrow:an_eyebrow ) , ) ( facing camera:the_camera ) ) ) ) ) 	4	1000
CONTRADICTION	 ( There ( is ( ( no ( boy standing ) ) ( in ( front ( of ( blue:the_blue_building the:in_the_space_reserved_for_handicapped_people ) ) ) ) ) ) ) 	 ( ( A boy ) ( is ( ( standing ( in ( front ( of blue:the_blue_building ) ) ) ) the:in_the_space_reserved_for_handicapped_people ) ) ) 	4.1	1002
NEUTRAL	 ( ( ( A boy ) ( in ( a ( red shirt ) ) ) ) ( ( ( is ( in ( front ( of ( a ( long ( blue wall ) ) ) ) ) ) ) and ) ( ( is suspiciously ) ( ( raising ( an eyebrow ) ) ( at ( the camera ) ) ) ) ) ) 	 ( There ( is ( ( no ( boy standing ) ) ( in ( front ( of ( ( the ( blue building ) ) ( in ( ( the space ) ( reserved ( for ( handicapped people ) ) ) ) ) ) ) ) ) ) ) ) 	2	1004
NEUTRAL	 ( ( boy:A_boy ( in ( a ( red shirt ) ) ) ) ( ( ( is ( in ( front ( of ( a ( long ( blue wall ) ) ) ) ) ) ) and ) ( ( is suspiciously ) ( ( raising ( an eyebrow ) ) ( at ( the camera ) ) ) ) ) ) 	 ( boy:A_boy ( is ( ( standing ( in ( front ( of ( the ( blue building ) ) ) ) ) ) ( in ( ( the space ) ( reserved ( for ( handicapped people ) ) ) ) ) ) ) ) 	2.4	1007
ENTAILMENT	 ( Jockeys:The_Jockeys ( are ( ( riding horses ) the:on_the_field_,_which_is_completely_green ) ) ) 	 ( Jockeys:The_Jockeys ( are ( ( racing horses ) the:on_the_field_,_which_is_completely_green ) ) ) 	4.7	1008
NEUTRAL	 ( Jockeys:The_Jockeys ( are ( ( racing horses ) the:on_the_field_,_which_is_completely_green ) ) ) 	 ( Jockeys:The_Jockeys ( are ( ( ( slowing down ) ( their horses ) ) the:on_the_field_,_which_is_completely_green ) ) ) 	4.2	1009
ENTAILMENT	 ( ( ( The ( green field ) ) ( for ( horse races ) ) ) ( is ( completely ( full ( of Jockeys ) ) ) ) ) 	 ( ( The Jockeys ) ( are ( ( racing horses ) ( on ( ( ( the field ) , ) ( which ( is ( completely green ) ) ) ) ) ) ) ) 	4	1010
NEUTRAL	 ( ( ( Some ( furious racers ) ) ( on ( the ( green grass ) ) ) ) ( are ( ( yelling ( at ( the horses ) ) ) ( jumping ( an obstacle ) ) ) ) ) 	 ( ( The Jockeys ) ( are ( ( racing horses ) ( on ( ( ( the field ) , ) ( which ( is ( completely green ) ) ) ) ) ) ) ) 	2.8	1016
NEUTRAL	 ( ( Some horses ) ( are ( ( ( ( racing furiously ) ( over ( the ( green grass ) ) ) ) and ) ( jumping ( an obstacle ) ) ) ) ) 	 ( ( The Jockeys ) ( are ( ( ( slowing down ) ( their horses ) ) ( on ( ( ( the field ) , ) ( which ( is ( completely green ) ) ) ) ) ) ) ) 	3	1018
NEUTRAL	 ( ( Some horses ) ( are ( ( ( ( racing furiously ) ( over ( the ( green grass ) ) ) ) and ) ( jumping ( an obstacle ) ) ) ) ) 	 ( ( ( The ( green field ) ) ( for ( horse races ) ) ) ( is ( completely ( full ( of Jockeys ) ) ) ) ) 	3.9	1019
ENTAILMENT	 ( ( A woman ) wearing:is_wearing_sunglasses_of_large_size_and_is_holding_newspapers_in_both_hands ) 	 ( ( The woman ) wearing:is_wearing_sunglasses_of_large_size_and_is_holding_newspapers_in_both_hands ) 	5	1021
CONTRADICTION	 ( ( A woman ) ( ( ( is ( wearing of:sunglasses_of_large_size ) ) and ) ( is ( holding ( newspapers both:in_both_hands ) ) ) ) ) 	 ( There ( is ( ( no woman ) ( wearing ( ( of:sunglasses_of_large_size and ) ( ( holding newspapers ) both:in_both_hands ) ) ) ) ) ) 	3.8	1022
NEUTRAL	 ( ( An ( old woman ) ) ( is ( ( wearing ( a shirt ) ) ( with ( a ( ( ( ( rose pattern ) ( upon it ) ) and ) ( ( is clumsily ) ( carrying ( two newspapers ) ) ) ) ) ) ) ) ) 	 ( ( A woman ) ( ( ( is ( wearing ( sunglasses ( of ( large size ) ) ) ) ) and ) ( is ( holding ( newspapers ( in ( both hands ) ) ) ) ) ) ) 	3.6	1026
NEUTRAL	 ( ( An ( old woman ) ) ( ( ( is ( wearing ( a ( ( rose patterned ) shirt ) ) ) ) and ) ( ( is clumsily ) ( carrying ( two newspapers ) ) ) ) ) 	 ( ( The woman ) ( ( ( is ( wearing ( sunglasses ( of ( large size ) ) ) ) ) and ) ( is ( holding ( newspapers ( in ( both hands ) ) ) ) ) ) ) 	3.5	1028
NEUTRAL	 ( ( An ( old woman ) ) ( ( ( is ( wearing ( a ( ( rose patterned ) shirt ) ) ) ) and ) ( ( is clumsily ) ( carrying ( two newspapers ) ) ) ) ) 	 ( There ( is ( ( no woman ) ( wearing ( ( ( sunglasses ( of ( large size ) ) ) and ) ( ( holding newspapers ) ( in ( both hands ) ) ) ) ) ) ) ) 	3	1029
NEUTRAL	 ( ( An ( old woman ) ) ( ( ( is ( wearing ( a ( ( rose patterned ) shirt ) ) ) ) and ) ( ( is clumsily ) ( carrying ( two newspapers ) ) ) ) ) 	 ( ( A woman ) ( ( ( is ( wearing ( sunglasses ( of ( large size ) ) ) ) ) and ) ( is ( holding ( newspapers ( in ( both hands ) ) ) ) ) ) ) 	3.8	1031
NEUTRAL	 ( ( person:A_person ( who ( is ( practicing snowboarding ) ) ) ) ( falls ( from air:the_air ) ) ) 	 ( person:A_person ( who ( is ( practicing ( ( snowboarding jumps ) ( into air:the_air ) ) ) ) ) ) 	3.5	1033
NEUTRAL	 ( ( The snowboarder ) ( is ( leaping white:over_white_snow ) ) ) 	 ( ( ( A leap ) white:over_white_snow ) ( ( is greatly ) ( appealing ( to ( the snowboarders ) ) ) ) ) 	3.2	1037
ENTAILMENT	 ( ( The snowboarder ) ( is ( ( leaping fearlessly ) ( over ( white snow ) ) ) ) ) 	 ( ( A person ) ( who ( is ( practicing ( ( snowboarding jumps ) ( into ( the air ) ) ) ) ) ) ) 	3.9	1038
NEUTRAL	 ( ( A ( practicing jumper ) ) ( is ( ( tossing ( ( a ( person 's ) ) snowboard ) ) ( into ( the air ) ) ) ) ) 	 ( ( The snowboarder ) ( is ( leaping ( over ( white snow ) ) ) ) ) 	2.8	1043
ENTAILMENT	 ( ( The snowboarder ) ( is ( leaping ( over ( white snow ) ) ) ) ) 	 ( ( A person ) ( who ( is ( practicing ( ( snowboarding jumps ) ( into ( the air ) ) ) ) ) ) ) 	4.1	1044
ENTAILMENT	 ( dog:A_dog ( is ( near ( ( ( ( ( a ball ) colored ) ( in red ) ) , ) ( which ( is the:in_the_air ) ) ) ) ) ) 	 ( dog:A_dog ( is ( near ( ( the ( red ball ) ) the:in_the_air ) ) ) ) 	4.9	1045
